call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,is_dormant
8,0,38,0,4370,71,5,17,3,1,1,197.64,0,0
0,0,39,0,318,5,7,4,2,1,2,46.035,0,0
10,0,37,0,2453,60,359,24,3,1,1,1536.52,0,0
10,0,38,0,4198,66,1,35,1,1,1,240.02,0,0
3,0,38,0,2393,58,2,33,1,1,1,145.805,0,0
11,0,38,1,3775,82,32,28,3,1,1,282.28,0,0
4,0,38,0,2360,39,285,18,3,1,1,1235.96,0,0
13,0,37,2,9115,121,144,43,3,1,1,945.44,0,0
7,0,38,0,13773,169,0,44,3,1,1,557.68,0,0
7,0,38,1,4515,83,2,25,3,1,1,191.92,0,0
6,0,38,0,5918,95,7,12,3,1,1,268.52,0,0
9,0,38,0,2238,54,8,17,3,1,2,123.68,0,0
25,0,38,3,15140,225,54,32,3,1,1,830.6,0,0
4,0,38,1,3095,27,483,8,3,1,1,2056.88,0,0
9,0,37,0,15485,182,150,30,2,1,1,1380.015,0,0
3,0,37,1,6500,86,186,26,3,1,1,1007.44,0,0
0,0,37,0,875,14,0,11,2,1,2,40.005,1,0
2,0,38,0,710,14,13,8,3,1,2,80.96,0,0
0,0,37,0,0,0,0,0,2,1,2,0.0,1,1
3,0,37,0,7508,127,384,43,2,1,1,2071.575,0,0
7,0,37,1,11465,154,11,47,4,1,1,317.975,0,0
8,0,37,1,6718,75,108,37,2,1,1,791.685,0,0
23,1,33,0,955,47,16,17,2,1,2,117.09,1,0
21,1,36,8,10435,93,1,42,5,2,1,159.42,0,0
13,1,36,1,5818,98,26,24,2,1,1,383.22,1,0
1,0,34,0,2840,22,0,14,3,1,1,114.48,0,0
9,0,35,0,2990,41,9,16,3,1,2,157.24,1,0
9,1,36,0,2268,44,34,31,3,1,2,228.48,1,0
0,0,36,0,133,2,0,2,3,1,2,5.4,1,0
1,0,36,0,1668,25,0,6,3,1,1,67.72,0,0
3,0,33,1,6785,97,14,22,5,1,1,124.23,0,0
0,1,36,0,628,7,9,4,4,1,2,38.375,1,0
0,0,36,1,338,4,4,2,5,1,1,11.13,0,0
25,0,31,3,16075,238,0,80,2,2,1,734.085,0,0
6,0,34,3,6965,116,271,33,2,2,1,1538.145,0,0
2,0,36,0,3718,82,2,28,2,1,1,180.0,0,0
3,0,35,0,1665,44,38,20,3,1,2,220.36,0,0
6,0,36,0,2780,53,175,23,2,1,1,914.985,0,0
4,0,27,1,1315,36,193,11,2,2,1,929.295,0,0
4,0,26,0,1568,39,30,68,4,1,1,115.175,0,0
11,0,27,0,700,25,10,7,2,1,2,77.625,0,0
0,0,26,0,825,10,21,3,4,1,2,73.375,1,0
10,0,25,0,1225,32,19,13,2,1,1,142.065,0,0
2,0,25,0,3225,61,8,23,3,1,1,163.44,0,0
2,0,18,0,1695,26,28,14,2,1,1,203.445,0,0
16,0,17,1,6393,141,85,42,2,2,1,676.53,0,0
12,0,15,0,8933,171,73,40,4,1,1,410.1,0,0
8,0,16,3,2853,45,31,19,3,2,1,239.92,0,0
2,0,9,1,4390,40,215,10,3,1,1,1037.2,0,0
3,0,9,1,1488,19,0,7,3,1,1,60.28,1,0
11,0,40,1,4430,74,10,19,3,1,1,220.16,0,0
3,0,41,1,378,8,12,6,3,1,1,63.44,0,0
13,0,39,1,2513,63,364,26,3,1,1,1559.04,0,0
13,0,40,1,4258,69,6,37,1,1,1,270.985,0,0
6,0,40,1,2453,61,7,35,2,1,1,144.63,0,0
14,0,40,2,3835,85,37,30,3,2,1,304.8,0,0
7,0,40,1,2420,42,290,20,3,1,1,1258.48,0,0
16,0,39,3,9175,124,149,45,3,1,1,967.96,0,0
10,0,40,1,13833,172,5,46,3,1,1,580.2,0,0
10,0,40,2,4575,86,7,27,3,1,1,214.44,0,0
9,0,40,1,5978,98,12,14,3,1,1,291.04,0,0
12,0,40,1,2298,57,13,19,3,1,1,146.2,0,0
28,0,40,4,15200,228,59,34,3,1,1,853.12,0,0
7,0,40,2,3155,30,488,10,3,1,1,2079.4,0,0
12,0,39,1,15545,185,155,32,2,1,1,1405.35,0,0
6,0,39,2,6560,89,191,28,3,1,1,1029.96,0,0
3,0,39,1,935,17,5,13,2,1,1,65.34,0,0
5,0,40,1,770,17,18,10,3,1,1,103.48,0,0
3,1,39,1,60,3,5,2,2,1,1,25.335,1,0
6,0,39,1,7568,130,389,45,3,1,1,1863.92,0,0
10,0,39,2,11525,157,16,49,4,2,1,332.05,0,0
11,0,39,2,6778,78,113,39,2,1,1,817.02,0,0
26,1,35,1,1015,50,21,19,3,1,1,126.6,1,0
24,1,38,9,10495,96,6,44,5,2,1,167.865,0,0
16,0,38,2,5878,101,31,26,2,1,1,408.555,0,0
4,0,36,1,2900,25,5,16,3,1,1,137.0,0,0
12,0,37,1,3050,44,14,18,3,1,1,179.76,1,0
12,1,38,1,2328,47,39,33,3,1,1,251.0,1,0
3,0,38,1,193,5,5,4,3,1,1,27.92,1,0
4,0,38,1,1728,28,5,8,4,1,1,56.4,0,0
6,0,35,2,6845,100,19,24,5,1,1,132.675,0,0
3,0,38,1,688,10,14,6,4,1,1,52.45,1,0
3,0,38,2,398,7,9,4,5,1,1,19.575,0,0
28,0,33,4,16135,241,5,82,2,1,1,759.42,0,0
9,1,36,4,7025,119,276,35,3,2,1,1389.76,0,0
5,0,38,1,3778,85,7,30,3,1,1,182.52,0,0
6,0,37,1,1725,47,43,22,3,1,1,242.88,0,0
9,0,38,1,2840,56,180,25,2,1,1,940.32,0,0
7,0,29,2,1375,39,198,13,3,2,1,848.56,0,0
7,0,28,1,1628,42,35,70,4,1,1,129.25,0,0
14,0,29,1,760,28,15,9,3,1,1,91.52,0,0
3,0,28,1,885,13,26,5,4,1,1,87.45,0,0
13,0,27,1,1285,35,24,15,2,1,1,167.4,0,0
5,0,27,1,3285,64,13,25,3,1,1,185.96,0,0
5,0,20,1,1755,29,33,16,2,1,1,228.78,0,0
19,0,19,2,6453,144,90,44,2,2,1,701.865,0,0
15,0,17,1,8993,174,78,42,5,1,1,254.505,0,0
11,0,18,4,2913,48,36,21,3,1,1,262.44,0,0
5,0,11,2,4450,43,220,12,3,1,1,1059.72,0,0
6,1,11,2,1548,22,5,9,3,1,1,82.8,1,0
5,0,36,0,4310,68,0,15,2,1,1,197.01,0,0
0,0,37,0,258,2,2,2,2,1,2,20.7,0,0
7,0,35,0,2393,57,354,22,2,1,1,1703.25,0,0
7,0,36,0,4138,63,0,33,1,1,1,231.055,0,0
0,0,36,0,2333,55,0,31,1,1,1,131.34,0,0
8,0,36,0,3715,79,27,26,3,1,1,259.76,0,0
1,0,36,0,2300,36,280,16,3,1,1,1213.44,0,0
10,0,35,1,9055,118,139,41,3,1,1,922.92,0,0
4,0,36,0,13713,166,0,42,3,1,1,555.16,0,0
4,0,36,0,4455,80,0,23,3,1,1,181.4,0,0
3,0,36,0,5858,92,2,10,2,1,1,276.75,0,0
6,1,36,0,2178,51,3,15,3,1,2,101.16,0,0
22,0,36,2,15080,222,49,30,3,1,1,808.08,0,0
1,0,36,0,3035,24,478,6,3,1,1,2034.36,0,0
6,0,35,0,15425,179,145,28,2,1,1,1354.68,0,0
0,0,35,0,6440,83,181,24,3,1,1,984.92,0,0
0,0,35,0,815,11,0,9,2,1,2,37.17,0,0
0,0,36,0,650,11,8,6,2,1,2,65.745,0,0
0,0,35,0,0,0,0,0,2,1,2,0.0,1,1
0,0,35,0,7448,124,379,41,2,1,1,2046.24,0,0
4,0,35,0,11405,151,6,45,3,1,1,486.24,0,0
5,0,35,0,6658,72,103,35,2,1,1,766.35,0,0
20,0,31,0,895,44,11,15,2,1,2,91.755,1,0
18,0,34,7,10375,90,0,40,4,1,1,261.625,0,0
10,0,34,0,5758,95,21,22,2,1,1,357.885,1,0
0,0,32,0,2780,19,0,12,3,1,1,111.96,0,0
6,0,33,0,2930,38,4,14,2,1,2,151.56,1,0
6,1,34,0,2208,41,29,29,3,1,2,205.96,1,0
0,1,34,0,0,0,0,0,3,1,2,0.0,1,1
0,0,34,0,1608,22,0,4,3,1,1,65.2,0,0
0,0,31,0,6725,94,9,20,4,1,1,192.975,0,0
0,0,34,0,568,4,4,2,4,1,2,24.3,1,0
0,0,34,0,0,0,0,0,5,1,1,0.0,0,1
22,0,29,2,16015,235,0,78,2,1,1,731.25,0,0
3,0,32,2,6905,113,266,31,2,2,1,1512.81,0,0
0,0,34,0,3658,79,0,26,2,1,1,168.165,0,0
0,0,33,0,1605,41,33,18,3,1,2,197.84,0,0
3,0,34,0,2720,50,170,21,2,1,1,889.65,0,0
1,0,25,0,1255,33,188,9,2,2,1,903.96,0,0
1,0,24,0,1508,36,25,66,4,1,1,101.1,0,0
8,0,25,0,640,22,5,5,2,1,2,52.29,0,0
0,1,24,0,765,7,16,1,4,1,2,59.3,1,0
7,0,23,0,1165,29,14,11,2,1,1,116.73,0,0
0,0,23,0,3165,58,3,21,3,1,1,140.92,0,0
0,0,16,0,1635,23,23,12,2,1,1,178.11,0,0
13,0,15,0,6333,138,80,40,1,2,1,795.905,0,0
9,0,13,0,8873,168,68,38,4,1,1,396.025,0,0
5,0,14,2,2793,42,26,17,3,1,1,217.4,0,0
0,0,7,0,4330,37,210,8,3,1,1,1014.68,0,0
0,0,7,0,1428,16,0,5,3,1,1,57.76,1,0
9,0,42,1,4450,73,15,21,3,1,1,240.92,0,0
1,1,43,0,398,7,17,8,3,1,2,84.2,1,0
11,0,41,1,2533,62,369,28,3,1,1,1579.8,0,0
11,0,42,1,4278,68,11,39,1,1,1,299.53,0,0
4,0,42,1,2473,60,12,37,2,1,1,167.985,0,0
