call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,is_dormant,churn_probability,predicted_churn,risk_score
0,1,32,0,0,0,0,0,3,1,2,0.0,1,1,0.9999915618366283,1,0.0
0,1,30,0,0,0,0,0,2,1,2,0.0,1,1,0.9999747469931363,1,0.0
0,1,31,0,0,0,0,0,2,1,2,0.0,1,1,0.999972516488496,1,0.0
0,1,35,0,0,0,0,0,2,1,2,0.0,1,1,0.9999698233578759,1,0.0
0,1,32,0,0,0,0,0,2,1,2,0.0,1,1,0.9999681909460579,1,0.0
0,1,34,0,0,0,0,0,2,1,2,0.0,1,1,0.9999680698554889,1,0.0
0,1,33,0,0,0,0,0,2,1,2,0.0,1,1,0.9999676014298681,1,0.0
0,1,36,0,0,0,0,0,2,1,2,0.0,1,1,0.9999638291010721,1,0.0
0,1,34,0,0,0,0,0,4,1,2,0.0,1,1,0.9999582454825146,1,0.0
0,1,34,0,0,0,0,0,3,1,2,0.0,1,1,0.9999337444790415,1,0.0
0,0,7,0,0,0,0,0,2,1,1,0.0,1,1,0.9998722473167453,1,0.0
0,0,3,0,0,0,0,0,2,1,1,0.0,1,1,0.9998722473167453,1,0.0
0,1,28,0,0,0,0,0,4,1,1,0.0,1,1,0.9998119061412888,1,0.0
0,1,30,0,0,0,0,0,4,1,2,0.0,1,1,0.9997979137263957,1,0.0
0,0,36,0,0,0,0,0,3,1,1,0.0,1,1,0.9991557358655425,1,0.0
0,0,36,0,0,0,0,0,3,1,2,0.0,1,1,0.9991557358655425,1,0.0
0,0,37,0,0,0,0,0,3,1,2,0.0,1,1,0.9982037568062706,1,0.0
0,1,30,0,0,0,0,0,5,1,1,0.0,1,1,0.997278252057417,1,0.0
0,0,36,0,0,0,0,0,4,1,2,0.0,1,1,0.9965414358277747,1,0.0
0,0,35,0,0,0,0,0,3,1,2,0.0,1,1,0.9906512044081894,1,0.0
0,0,33,0,0,0,0,0,3,1,2,0.0,1,1,0.98992008742017,1,0.0
0,0,31,0,0,0,0,0,4,1,2,0.0,1,1,0.9584645016374379,1,0.0
0,0,29,0,0,0,0,0,3,1,2,0.0,1,1,0.9213130569068502,1,0.0
0,0,28,0,0,0,0,0,2,1,2,0.0,1,1,0.9179061167512846,1,0.0
0,0,37,0,0,0,0,0,2,1,1,0.0,1,1,0.9099390881727387,1,0.0
0,0,37,0,0,0,0,0,2,1,2,0.0,0,1,0.9099390881727387,1,0.0
0,0,37,0,0,0,0,0,2,1,2,0.0,1,1,0.9099390881727387,1,0.0
0,0,28,0,0,0,0,0,3,1,2,0.0,1,1,0.9090828189370415,1,0.0
0,0,28,0,0,0,0,0,3,1,1,0.0,0,1,0.9090828189370415,1,0.0
0,0,29,0,0,0,0,0,2,1,2,0.0,1,1,0.904265022935377,1,0.0
