feature,logreg_coefficient,random_forest_importance,xgboost_importance,lightgbm_importance,avg_tree_importance
complains,1.1367199014200036,0.1369598434545403,0.479481,143,0.2107765813241779
customer_value,-0.19833702746163623,0.1573161906170264,0.11966393,1052,0.13128967031176714
frequency_of_use,-2.432604854026302,0.1539520281731754,0.074447885,1449,0.12979997110961775
seconds_of_use,0.9869494821124426,0.14083012941476708,0.07171097,1456,0.12477295790666894
subscription_length,-0.09252449140101204,0.09595188759141346,0.027603287,1752,0.10607394716929457
call_failure,1.3516628129939612,0.05502597149441821,0.048508555,835,0.0654374346564109
distinct_called_numbers,-0.4780218624806222,0.07670211172479476,0.029049002,793,0.06462074149000895
frequency_of_sms,-1.3832178876865402,0.08881266672641189,0.021445196,652,0.06090076909759581
age_group,-0.013608670617871996,0.056308566144792904,0.030425265,711,0.05524461052539901
charge_amount,-1.3822301056202349,0.033657464538180304,0.09317107,126,0.04694284402468585
is_dormant,0.11169328331234969,0.002776606664830192,0.004493885,30,0.0035346084020282643
tariff_plan,0.031089951711074672,0.0017065334556491004,0.0,1,0.0006058815222534038
