customer_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,is_dormant,churn_probability,predicted_churn,risk_score
CUST-00388,6,1,30,1,1495,44,204,16,2,2,1,987.255,1,0,0.9998690773316619,1,987.1257459410698
CUST-00686,6,1,27,1,1505,37,202,14,2,2,1,978.39,1,0,0.9999203861849902,1,978.3121066395325
CUST-00954,4,1,27,1,1315,36,193,11,2,2,1,929.295,1,0,0.9998108458375919,1,929.119219982645
CUST-00997,0,1,25,0,1010,30,186,9,2,2,1,883.8,1,0,0.9996488405291734,1,883.4896452596834
CUST-00834,6,1,32,2,1315,42,201,12,3,2,1,858.28,1,0,0.9998646064334782,1,858.1637944097256
CUST-01522,8,1,35,1,5628,98,51,26,2,1,1,487.17,1,0,0.9999879710351479,1,487.164139849193
CUST-00672,15,0,36,1,6008,99,35,27,2,1,1,432.315,1,0,0.9999707982251289,1,432.3023756346966
CUST-00174,14,0,40,2,5898,100,36,28,2,1,1,431.91,1,0,0.999860579132453,1,431.8497827330978
CUST-01328,10,0,37,0,5693,100,30,27,2,1,1,395.685,1,0,0.9999682289884335,1,395.67242868728835
CUST-02664,16,0,33,1,6123,98,25,25,2,1,1,392.445,1,0,0.9999259440841343,1,392.4159371260981
CUST-01618,10,0,34,0,5703,93,28,25,2,1,1,386.82,1,0,0.9999855686228478,1,386.81441765469
CUST-01131,9,0,38,1,5593,94,29,26,2,1,1,386.415,1,0,0.9999677491890796,1,386.4025378028982
CUST-00024,13,1,36,1,5818,98,26,24,2,1,1,383.22,1,0,0.9999967017818251,1,383.21873605683106
CUST-00949,13,0,36,1,5818,98,26,24,2,1,1,383.22,1,0,0.9999856789565378,1,383.21451188972446
CUST-01762,10,0,39,1,5513,98,27,23,2,1,1,373.995,1,0,0.9999496568503459,1,373.97617191374513
CUST-02316,16,0,35,2,5943,96,22,21,2,1,1,370.755,1,0,0.9999426882999857,1,370.73375140066116
CUST-01033,11,1,36,1,5573,95,24,24,2,1,1,363.06,1,0,0.99999866506136,1,363.0595153371774
CUST-00124,10,0,34,0,5758,95,21,22,2,1,1,357.885,1,0,0.9999790482439046,1,357.8775016807698
CUST-02216,13,0,32,1,5863,94,18,20,2,1,1,349.065,1,0,0.9999815220588044,1,349.05854999745657
CUST-00770,11,0,31,0,5818,92,18,23,2,1,1,346.95,1,0,0.9999499165442519,1,346.9326235450282
CUST-00985,8,1,34,0,5513,92,19,22,2,1,1,337.725,1,0,0.9999987324142373,1,337.7245719045983
CUST-01882,8,0,34,0,5513,92,19,22,2,1,1,337.725,1,0,0.999994072783627,1,337.7229982308504
CUST-00477,13,1,36,0,2868,54,55,46,3,1,2,336.88,1,0,0.9999907541092957,1,336.8768852443395
