threshold,fp_count,fn_count,fp_cost,fn_cost,total_cost
0.05,22,6,1100,1638.84,2738.84
0.1,16,10,800,2085.08,2885.08
0.15,16,10,800,2085.08,2885.08
0.2,14,10,700,2085.08,2785.08
0.25,11,11,550,2085.08,2635.08
0.3,10,11,500,2085.08,2585.08
0.35,10,11,500,2085.08,2585.08
0.39999999999999997,10,12,500,2160.2799999999997,2660.2799999999997
0.44999999999999996,10,12,500,2160.2799999999997,2660.2799999999997
0.49999999999999994,10,13,500,2257.12,2757.12
0.5499999999999999,9,13,450,2257.12,2707.12
0.6,9,14,450,2309.16,2759.16
0.65,8,14,400,2309.16,2709.16
0.7,7,14,350,2309.16,2659.16
0.75,7,15,350,2455.8349999999996,2805.8349999999996
0.7999999999999999,7,16,350,2652.315,3002.315
0.85,7,16,350,2652.315,3002.315
0.9,7,18,350,2912.37,3262.37
0.95,7,22,350,3284.14,3634.14
